상품명,은행,가입최소한도,가입최대한도,가입방법,대상
i-ONE 놀이터예금,IBK기업은행,1000000,30000000,"인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크",실명의 개인 (개인사업자 제외)
BNK더조은정기예금,경남은행,1000000,500000000,"BNK경남은행 모바일뱅킹, 인터넷뱅킹, 모바일웹","제한없음 (단, 국가 및 지방자치단체는 제외)"
JB 주거래 예금,전북은행,1000000,500000000,"영업점, 모바일Web, 인터넷뱅킹, 스마트뱅킹",실명의 개인 및 개인사업자
토스뱅크 먼저 이자 받는 정기예금,토스뱅크,1000000,1000000000,,토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인
KDB 정기예금,KDB산업은행,1000000,1000000000,"영업점, 개인인터넷뱅킹, 기업인터넷뱅킹, 개인스마트폰뱅킹, 제휴채널▪ 인터넷뱅킹, 스마트폰뱅킹 및 제휴채널을 통한 가입은 입출금이 자유로운 예금 계좌(이하 '근거계좌')를 보유한 고객에 한해 가능",제한 없음
카카오뱅크 정기예금,카카오뱅크,1000000,1000000000,,실명의 개인※ 주민등록증 또는 운전면허증을 소지한 만 17세 이상 내국인
NH내가Green초록세상예금,NH농협은행,1000000,1000000000,"영업점, 비대면 채널",개인(1인 1계좌)
법사랑플러스예금,NH농협은행,1000000,1000000000,영업점,"개인, 법인"
고객님 감사합니다 정기예금,경남은행,1000000,2000000000,"영업점, 모바일뱅킹, 모바일웹, 인터넷뱅킹, 고객센터","제한없음 (단, 국가 및 지방자치단체, 금융기관 제외)"
JB 골든 에이지 예금,전북은행,3000000,1000000000,"영업점, 인터넷뱅킹, 모바일뱅킹, 모바일 Web",실명의 개인 및 개인사업자(임의단체 제외)
친환경녹색예금,DGB대구은행,3000000,1000000000,영업점,제한없음
Sh평생주거래우대예금,SH수협은행,1000000,1000000000,영업점,실명의 개인 (1인 1계좌)
Sh옳다!ALL多!정기예금,SH수협은행,1000000,1000000000,스마트폰뱅킹,실명의 개인(1인1계좌)
DGB행복파트너예금(연금형),DGB대구은행,3000000,1000000000,"영업점, 인터넷뱅킹",개인
자유만기회전예금,DGB대구은행,1000000,1000000000,"영업점, 인터넷뱅킹","제한없음(단, 국가 및 지방자치단체 제외)"
플러스다모아예금,광주은행,1000000,1000000000,"영업점, 스마트뱅킹, 모바일뱅킹, 인터넷뱅킹","제한없음 (단, 국가 및 지방자치단체는 제외)"
KB골든라이프연금우대예금,KB국민은행,10000000,1000000000,은행창구 방문,개인 및 개인사업자
큰만족실세예금,NH농협은행,1000000,1000000000,"영업점, 인터넷/스마트뱅킹","개인, 법인(단, 국가, 지방자치단체 제외)"
IBK혁신창업기업응원통장[실세금리정기예금],IBK기업은행,1000000,10000000000,"영업점, 인터넷뱅킹, i-ONE뱅크",제한없음
BNK내맘대로 예금,부산은행,1000000,1000000000,"영업점, 개인(기업) 인터넷뱅킹, 모바일뱅킹, 태블릿뱅킹","제한없음 (단, 금융기관 및 시금고 등은 대상에서 제외)"
스마트 정기예금,전북은행,3000000,50000000,"인터넷뱅킹, 스마트뱅킹",인터넷뱅킹 또는 스마트뱅킹에 가입한 고객
저탄소 실천 예금,부산은행,3000000,1000000000,"영업점, 인터넷뱅킹, 모바일뱅킹, 비대면영업팀",제한없음
IBK회전정기예금,IBK기업은행,1000000,1000000000,영업점,"제한없음 (단, 금융기관 제외)"
자유적립식예금,DGB대구은행,100000,1000000000,"영업점, 인터넷뱅킹","제한없음(단, 국가 및 지방자치단체는 가입 불가)"
3·6·9 정기예금,하나은행,3000000,1000000000,"영업점, 인터넷뱅킹, 스마트폰뱅킹",실명의 개인 또는 개인사업자
행복knowhow 연금예금,하나은행,1000000,1000000000,영업점,실명의 개인 또는 개인사업자
홈앤세이브예금,SC제일은행,3000000,1000000000,영업점,개인
IBK혁신창업기업응원통장[중소기업금융채권],IBK기업은행,1000000,10000000000,"영업점, 인터넷뱅킹, i-ONE뱅크",제한없음
독도사랑예금,SH수협은행,1000000,1000000000,"영업점, 인터넷뱅킹, 스마트폰뱅킹",개인 및 개인사업자
사랑해정기예금(실세금리정기예금),SH수협은행,1000000,1000000000,"영업점, 인터넷, 스마트폰",제한없음
실세금리정기예금,IBK기업은행,5000000,1000000000,"영업점, 인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크",제한없음
어촌복지예금 (거치식예금),SH수협은행,1000000,1000000000,영업점,제한없음
제주DREAM 정기예금,제주은행,,1000000000,"영업점, 모바일뱅킹, 인터넷뱅킹",제한없음
NH더하고나눔정기예금,NH농협은행,3000000,1000000000,영업점,"개인, 법인(단, 국가, 지방자치단체 제외)"
미래설계 장기플랜 연금예금,신한은행,3000000,1000000000,영업점,실명의 개인
미래설계 크레바스 연금예금,신한은행,3000000,1000000000,영업점,실명의 개인
플러스정기예금,DGB대구은행,1000000,1000000000,영업점,"제한없음(단, 국가 및 지방자치단체는 제외)"
마니마니정기예금,경남은행,5000000,1000000000,"영업점, 인터넷뱅킹, 모바일뱅킹, 고객센터","제한없음 (단, 국가 및 지방자치단체 제외)"
퍼스트정기예금,SC제일은행,1000000,1000000000,"영업점, 인터넷뱅킹",제한없음
KB국민UP정기예금,KB국민은행,3000000,1000000000,"KB스타뱅킹, 인터넷뱅킹, 은행창구 방문, 고객센터","제한없음 (단, 금융기관 제외)"
정기예금1,IBK기업은행,1000000,1000000000,"영업점, 인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크",제한없음
우리 SUPER 정기예금,우리은행,1000000,1000000000,"인터넷, 영업점, 스마트폰, 전화",실명의 개인
맞춤형 자유만기 정기예금,전북은행,5000000,5000000,영업점,국가 및 지방자치단체를 제외하고 제한없이 가입
장기회전정기예금,부산은행,10000,1000000000,영업점,제한없음
정기예금2,NH농협은행,1000,1000000000,영업점,제한없음
정기예금3,제주은행,100,1000000000,"영업점, 모바일뱅킹, 인터넷뱅킹",제한없음
초장기회전예금,NH농협은행,1000000,1000000000,영업점,제한없음
JB FUN 세이브 통장,전북은행,20000000,1000000000,영업점,실명의 개인 및 개인사업자(임의단체 제외)
JB회전정기예금,전북은행,1000000,1000000000,영업점,"제한없음 (단, 국가 및 지방자치단체 제외)"
시장금리부 정기예금,전북은행,3000000,1000000000,영업점,국가 및 지방자치단체를 제외하고 제한없이 가입
신한 S드림 정기예금,신한은행,3000000,1000000000,"인터넷, 영업점",제한없음
